datetime,Bx,By
2022-06-08 18:20:36+00:00,5.266859779614325,23.22450303030303
2022-06-08 18:20:40+00:00,4.845651657458563,21.206270718232044
2022-06-08 18:20:44+00:00,4.911334065934066,20.07091401098901
2022-06-08 18:20:48+00:00,4.9630870523415975,19.492684573002755
2022-06-08 18:20:52+00:00,4.41430138121547,19.026920441988953
2022-06-08 18:20:56+00:00,4.087517355371901,21.31391873278237
2022-06-08 18:21:00+00:00,4.181062021857923,20.54038743169399
2022-06-08 18:21:04+00:00,4.03385,20.446174725274723
2022-06-08 18:21:08+00:00,4.7024795081967214,19.363286885245902
2022-06-08 18:21:12+00:00,2.7208421487603305,18.163244077134987
2022-06-08 18:21:16+00:00,3.56589226519337,20.673451933701656
2022-06-08 18:21:20+00:00,2.4935644204851752,19.71399730458221
2022-06-08 18:21:24+00:00,-19.370453804347825,5.564547826086956
2022-06-08 18:21:28+00:00,-23.904432970027248,2.4726185286103544
2022-06-08 18:21:32+00:00,-19.48724837837838,5.499752432432433
2022-06-08 18:21:36+00:00,-22.466371891891892,5.609205135135135
2022-06-08 18:21:40+00:00,-21.054545257452574,5.358862872628726
2022-06-08 18:21:44+00:00,-19.985143665768195,7.000489757412399
2022-06-08 18:21:48+00:00,-23.351402732240437,8.02502786885246
2022-06-08 18:21:52+00:00,-22.827411111111115,6.259727913279132
2022-06-08 18:21:56+00:00,-20.459850136239783,5.922160490463215
2022-06-08 18:22:00+00:00,-20.779717079889807,5.245785674931129
2022-06-08 18:22:04+00:00,-20.524069209809262,4.707960762942779
2022-06-08 18:22:08+00:00,-20.380766485013623,5.594726975476839
2022-06-08 18:22:12+00:00,-23.223890163934424,5.719490437158471
2022-06-08 18:22:16+00:00,-20.172116304347824,8.423414945652173
2022-06-08 18:22:20+00:00,-18.753845652173915,3.7060910326086955
2022-06-08 18:22:24+00:00,-18.290059945504087,2.0355852861035424
2022-06-08 18:22:28+00:00,-20.53054723756906,8.608136740331492
2022-06-08 18:22:32+00:00,-21.00178314917127,10.28832817679558
2022-06-08 18:22:36+00:00,-21.189075900277007,7.417858171745152
2022-06-08 18:22:40+00:00,-19.741289835164835,3.541813736263736
